Team,Captain & Mate Board Fee,Billfish Fee,Meatfish Fee,Total Fee
Overnight Celebrity,$0.00,$0.00,"$7,000.00","$7,000.00"
Miss Catherine,$750.00,"$40,500.00","$9,000.00","$50,250.00"
A Team,$0.00,"$1,500.00","$4,500.00","$6,000.00"
Vamanos (63'),$750.00,"$22,500.00","$3,000.00","$26,250.00"
Mi Novia,$750.00,"$17,500.00","$2,000.00","$20,250.00"
See-Mah,$750.00,"$40,500.00","$3,000.00","$44,250.00"
Poured Out,$0.00,"$40,500.00","$5,000.00","$45,500.00"
Sea Señora,$0.00,"$19,500.00","$2,000.00","$21,500.00"
Double E,$0.00,"$32,500.00","$4,500.00","$37,000.00"
Sashimi,$750.00,"$40,500.00","$9,000.00","$50,250.00"
Low Bid,$0.00,"$2,500.00","$2,500.00","$5,000.00"
Liquid Asset,$0.00,"$13,500.00","$9,000.00","$22,500.00"
El Patron,$0.00,"$40,500.00",$0.00,"$40,500.00"
Freebird,$750.00,"$26,500.00","$2,000.00","$29,250.00"
Reelity Check,$0.00,"$6,500.00","$5,000.00","$11,500.00"
Deez Nautz,$0.00,"$27,500.00","$2,000.00","$29,500.00"
Trophy Club,$0.00,"$7,500.00","$3,500.00","$11,000.00"
Game Plan,$0.00,"$40,500.00",$0.00,"$40,500.00"
Big Trouble,$750.00,"$40,500.00","$6,000.00","$47,250.00"
Backlash,$750.00,"$40,500.00","$1,500.00","$42,750.00"
La Belle,$0.00,"$20,500.00","$6,500.00","$27,000.00"
Sigsbee Deep,$0.00,"$40,500.00","$3,500.00","$44,000.00"
Cutter Bill,$0.00,"$20,500.00","$2,500.00","$23,000.00"
Bisyckel,$0.00,"$1,500.00","$4,000.00","$5,500.00"
Unstable,$0.00,"$40,500.00","$1,500.00","$42,000.00"
Desperado,$750.00,"$20,500.00","$1,000.00","$22,250.00"
Vamonos (58' Viking),$750.00,"$34,500.00","$4,500.00","$39,750.00"
Doulos,$0.00,"$16,500.00","$3,000.00","$19,500.00"
Tipsea,$0.00,"$1,000.00","$2,500.00","$3,500.00"
Instigator,$750.00,"$40,500.00","$3,500.00","$44,750.00"
The Edge,$750.00,"$40,500.00","$1,500.00","$42,750.00"
